,Title,TMDb,IMDb,Rotten Tomatoes,Metascore,Awards,Revenue,Budget,Release Year,Release Month
50,Pirates of the Caribbean: Dead Men Tell No Tales,6.6,6.5,29.0,39.0,1 win & 13 nominations.,794861794,230000000,2017,5
51,It,7.2,7.3,86.0,69.0,9 wins & 49 nominations.,701796444,35000000,2017,9
52,Justice League,6.2,6.2,40.0,45.0,2 wins & 13 nominations.,657924295,300000000,2017,11
53,Logan,7.8,8.1,93.0,77.0,Nominated for 1 Oscar. Another 28 wins & 76 nominations.,619021436,97000000,2017,2
54,Transformers: The Last Knight,6.0,5.2,15.0,27.0,5 wins & 19 nominations.,605425157,217000000,2017,6
55,Kong: Skull Island,6.5,6.6,75.0,62.0,Nominated for 1 Oscar. Another 1 win & 20 nominations.,566652812,185000000,2017,3
56,Dunkirk,7.5,7.8,92.0,94.0,Won 3 Oscars. Another 60 wins & 229 nominations.,525573161,100000000,2017,7
57,The Boss Baby,6.5,6.3,53.0,50.0,Nominated for 1 Oscar. Another 4 wins & 20 nominations.,498814908,125000000,2017,3
58,War for the Planet of the Apes,7.1,7.4,94.0,82.0,Nominated for 1 Oscar. Another 27 wins & 64 nominations.,488533726,150000000,2017,7
59,Avengers: Infinity War,8.3,8.4,85.0,68.0,Nominated for 1 Oscar. Another 46 wins & 76 nominations.,2046239637,300000000,2018,4
60,Black Panther,7.4,7.3,96.0,88.0,Won 3 Oscars. Another 109 wins & 274 nominations.,1346739107,200000000,2018,2
61,Jurassic World: Fallen Kingdom,6.6,6.2,47.0,51.0,4 wins & 26 nominations.,1303459585,170000000,2018,6
62,Incredibles 2,7.5,7.6,93.0,80.0,Nominated for 1 Oscar. Another 12 wins & 76 nominations.,1242805359,200000000,2018,6
63,Aquaman,6.9,6.9,65.0,55.0,2 wins & 39 nominations.,1148461807,160000000,2018,12
64,Bohemian Rhapsody,8.0,8.0,60.0,49.0,Won 4 Oscars. Another 42 wins & 77 nominations.,894027543,52000000,2018,10
65,Venom,6.8,6.7,29.0,35.0,3 wins & 9 nominations.,855013954,116000000,2018,9
66,Mission: Impossible - Fallout,7.4,7.7,97.0,86.0,Nominated for 1 BAFTA Film Award. Another 23 wins & 36 nominations.,791017452,178000000,2018,7
67,Deadpool 2,7.5,7.7,84.0,66.0,6 wins & 52 nominations.,786365638,110000000,2018,5
68,Fantastic Beasts: The Crimes of Grindelwald,6.9,6.6,36.0,52.0,Nominated for 2 BAFTA Film Awards. Another 3 wins & 20 nominations.,653355901,200000000,2018,11
69,Ant-Man and the Wasp,7.0,7.0,87.0,70.0,1 win & 20 nominations.,622674139,140000000,2018,7
70,Ready Player One,7.6,7.4,72.0,64.0,Nominated for 1 Oscar. Another 11 wins & 55 nominations.,582890172,175000000,2018,3
71,Operation Red Sea,6.7,6.7,80.0,,31 wins & 41 nominations.,579220560,70000000,2018,2
72,The Meg,6.2,5.6,45.0,46.0,4 wins & 6 nominations.,530243742,150000000,2018,8
73,Ralph Breaks the Internet,7.2,7.0,88.0,71.0,Nominated for 1 Oscar. Another 3 wins & 66 nominations.,529221154,175000000,2018,11
74,The Grinch,6.8,6.3,59.0,51.0,1 win & 18 nominations.,508575295,75000000,2018,11
75,Bumblebee,6.7,6.8,91.0,66.0,2 wins & 13 nominations.,467989645,135000000,2018,12
76,A Star Is Born,7.5,7.6,90.0,88.0,Won 1 Oscar. Another 93 wins & 278 nominations.,433888866,36000000,2018,10
77,Rampage,6.5,6.1,51.0,45.0,7 nominations.,426245950,120000000,2018,4
78,Avengers: Endgame,8.3,8.4,94.0,78.0,Nominated for 1 Oscar. Another 69 wins & 109 nominations.,2797800564,356000000,2019,4
79,The Lion King,7.2,6.9,52.0,55.0,Nominated for 1 Oscar. Another 19 wins & 43 nominations.,1656943394,260000000,2019,7
80,Frozen II,7.3,6.9,78.0,64.0,Nominated for 1 Oscar. Another 18 wins & 88 nominations.,1450026933,150000000,2019,11
81,Spider-Man: Far from Home,7.5,7.5,90.0,69.0,10 wins & 25 nominations.,1131927996,160000000,2019,6
82,Captain Marvel,7.0,6.9,79.0,64.0,8 wins & 52 nominations.,1128276090,152000000,2019,3
83,Joker,8.2,8.4,68.0,59.0,Won 2 Oscars. Another 116 wins & 235 nominations.,1074251311,55000000,2019,10
