,Title,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Revenue,Box Office,Budget,TMDb Score,IMDb,Rotten Tomatoes,Metascore,Awards,Release Year,Release Month
36,Warcraft,Action,Adventure,Fantasy,,,,433677183,47365290,160000000,6.3,6.8,28.0,32.0,2 wins & 3 nominations.,2016,5
37,Jason Bourne,Action,Thriller,,,,,415484914,162434410,120000000,6.3,6.6,54.0,58.0,3 wins & 20 nominations.,2016,7
38,Ice Age: Collision Course,Adventure,Animation,Family,Comedy,Science Fiction,,408579038,64063008,105000000,6.0,5.7,18.0,34.0,2 wins.,2016,6
39,Star Wars: The Last Jedi,Science Fiction,Action,Adventure,,,,1332539889,620181382,200000000,6.9,7.0,90.0,84.0,Nominated for 4 Oscars. Another 26 wins & 99 nominations.,2017,12
40,Beauty and the Beast,Family,Fantasy,Romance,,,,1263521126,504481165,160000000,7.0,7.1,71.0,65.0,Nominated for 2 Oscars. Another 15 wins & 72 nominations.,2017,3
41,The Fate of the Furious,Action,Crime,Thriller,,,,1238764765,226008385,250000000,6.9,6.6,67.0,56.0,2 wins & 12 nominations.,2017,4
42,Despicable Me 3,Action,Animation,Comedy,Family,Adventure,,1031552585,264624300,80000000,6.4,6.3,58.0,49.0,33 nominations.,2017,6
43,Jumanji: Welcome to the Jungle,Action,Adventure,Comedy,Fantasy,,,962102237,404540171,90000000,6.8,6.9,76.0,58.0,6 wins & 19 nominations.,2017,12
44,Spider-Man: Homecoming,Action,Adventure,Science Fiction,Drama,,,880166924,334201140,175000000,7.4,7.4,92.0,73.0,7 wins & 10 nominations.,2017,7
45,Wolf Warrior 2,War,Action,Drama,,,,870322670,2721100,29700000,6.6,6.0,69.0,44.0,27 wins & 15 nominations.,2017,7
46,Guardians of the Galaxy Vol. 2,Adventure,Action,Science Fiction,Comedy,,,863756051,389813101,200000000,7.6,7.6,85.0,67.0,Nominated for 1 Oscar. Another 15 wins & 57 nominations.,2017,4
47,Thor: Ragnarok,Action,Adventure,Comedy,Fantasy,Science Fiction,,853977126,315058289,180000000,7.6,7.9,93.0,74.0,6 wins & 50 nominations.,2017,10
48,Wonder Woman,Action,Adventure,Fantasy,,,,821847012,412815408,149000000,7.3,7.4,93.0,76.0,25 wins & 72 nominations.,2017,5
49,Coco,Family,Animation,Fantasy,Music,Comedy,Adventure,800526015,210460015,175000000,8.2,8.4,97.0,81.0,Won 2 Oscars. Another 109 wins & 40 nominations.,2017,10
50,Pirates of the Caribbean: Dead Men Tell No Tales,Adventure,Action,Fantasy,,,,794861794,172558876,230000000,6.6,6.5,29.0,39.0,1 win & 13 nominations.,2017,5
51,It,Horror,,,,,,701796444,328828874,35000000,7.2,7.3,86.0,69.0,9 wins & 49 nominations.,2017,9
52,Justice League,Action,Adventure,Fantasy,Science Fiction,,,657924295,229024295,300000000,6.2,6.2,40.0,45.0,2 wins & 13 nominations.,2017,11
53,Logan,Action,Drama,Science Fiction,,,,619021436,226277068,97000000,7.8,8.1,93.0,77.0,Nominated for 1 Oscar. Another 28 wins & 76 nominations.,2017,2
54,Transformers: The Last Knight,Action,Adventure,Science Fiction,Fantasy,,,605425157,130168683,217000000,6.0,5.2,15.0,27.0,5 wins & 19 nominations.,2017,6
