,Title,ID,Release Date,TMDb Score,TMDb Vote Count,Revenue,Budget,Genres,Genres ID,Production Companies,Release Year,Release Month,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5
10,Fifty Shades of Grey,216015,2/11/15,5.9,9399,571006128,4000000,"['Drama', 'Romance', 'Thriller']","[18, 10749, 53]","['Focus Features', 'Michael De Luca Productions', 'Trigger Street Productions']",2015,2,Drama,Romance,Thriller,,
11,Cinderella,150689,3/12/15,6.8,5810,543514353,95000000,"['Romance', 'Fantasy', 'Family', 'Drama']","[10749, 14, 10751, 18]","['Walt Disney Pictures', 'Genre Films', 'Beagle Pug Films', 'Allison Shearmur Productions']",2015,3,Romance,Fantasy,Family,Drama,
12,The Revenant,281957,12/25/15,7.5,14465,532950503,135000000,"['Western', 'Drama', 'Adventure']","[37, 18, 12]","['Monarchy Enterprises S.a.r.l.', 'Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures', 'Hong Kong Alpha Motion Pictures Co.', 'M Productions', 'RatPac-Dune Entertainment']",2015,12,Western,Drama,Adventure,,
13,Ant-Man,102899,7/14/15,7.1,15410,519311965,130000000,"['Science Fiction', 'Action', 'Adventure']","[878, 28, 12]",['Marvel Studios'],2015,7,Science Fiction,Action,Adventure,,
14,San Andreas,254128,5/27/15,6.2,6546,473990832,110000000,"['Action', 'Drama', 'Thriller']","[28, 18, 53]","['New Line Cinema', 'Village Roadshow Pictures', 'Flynn Picture Company', 'Warner Bros. Pictures']",2015,5,Action,Drama,Thriller,,
15,Hotel Transylvania 2,159824,9/21/15,6.8,4299,473226958,80000000,"['Family', 'Animation', 'Comedy', 'Fantasy']","[10751, 16, 35, 14]","['Sony Pictures', 'Columbia Pictures', 'Sony Pictures Animation']",2015,9,Family,Animation,Comedy,Fantasy,
16,Terminator Genisys,87101,6/23/15,5.9,6622,440603537,155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']","[878, 28, 53, 12]","['Skydance Media', 'Paramount']",2015,6,Science Fiction,Action,Thriller,Adventure,
17,Mad Max: Fury Road,76341,5/13/15,7.5,17902,378858340,150000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Kennedy Miller Productions', 'Warner Bros. Pictures', 'RatPac-Dune Entertainment', 'Village Roadshow Pictures']",2015,5,Action,Adventure,Science Fiction,,
18,Home,228161,3/18/15,6.8,3059,368871007,135000000,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']","[14, 35, 16, 878, 10751]",['DreamWorks Animation'],2015,3,Fantasy,Comedy,Animation,Science Fiction,Family
19,The Good Dinosaur,105864,11/14/15,6.7,4179,332207671,175000000,"['Adventure', 'Animation', 'Family']","[12, 16, 10751]",['Pixar'],2015,11,Adventure,Animation,Family,,
