,Title,Box Office,IMDb,Rotten Tomatoes,Metascore,Awards
64,Mission: Impossible - Fallout,"$220,159,104",7.7,97%,86,Nominated for 1 BAFTA Film Award. Another 23 wins & 36 nominations.
65,Deadpool 2,"$324,591,735",7.7,84%,66,6 wins & 52 nominations.
66,Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901",6.6,36%,52,Nominated for 2 BAFTA Film Awards. Another 3 wins & 20 nominations.
67,Ant-Man and the Wasp,"$216,648,740",7.0,87%,70,1 win & 20 nominations.
68,Ready Player One,"$137,690,172",7.4,72%,64,Nominated for 1 Oscar. Another 11 wins & 55 nominations.
69,Operation Red Sea,"$1,543,547",6.7,80%,N/A,31 wins & 41 nominations.
70,The Meg,"$145,443,742",5.6,45%,46,4 wins & 6 nominations.
71,Ralph Breaks the Internet,"$201,091,711",7.0,88%,71,Nominated for 1 Oscar. Another 3 wins & 66 nominations.
72,The Grinch,"$271,094,731",6.3,59%,51,1 win & 18 nominations.
73,Bumblebee,"$127,195,589",6.8,91%,66,2 wins & 13 nominations.
74,A Star Is Born,"$215,288,866",7.6,90%,88,Won 1 Oscar. Another 93 wins & 278 nominations.
75,Rampage,"$101,028,233",6.1,51%,45,7 nominations.
76,Avengers: Endgame,"$858,373,000",8.4,94%,78,Nominated for 1 Oscar. Another 69 wins & 109 nominations.
77,The Lion King,"$422,783,777",8.5,93%,88,Won 2 Oscars. Another 36 wins & 35 nominations.
78,Frozen II,"$477,373,578",6.9,78%,64,Nominated for 1 Oscar. Another 18 wins & 88 nominations.
79,Spider-Man: Far from Home,"$390,532,085",7.5,90%,69,10 wins & 25 nominations.
80,Captain Marvel,"$426,829,839",6.9,79%,64,8 wins & 52 nominations.
81,Joker,"$335,451,311",8.4,68%,59,Won 2 Oscars. Another 112 wins & 234 nominations.
82,Toy Story 4,"$434,038,008",7.8,97%,84,Won 1 Oscar. Another 55 wins & 62 nominations.
83,Aladdin,"$217,350,219",8.0,95%,86,Won 2 Oscars. Another 31 wins & 22 nominations.
84,Jumanji: The Next Level,"$320,314,960",6.6,71%,58,1 win & 10 nominations.
85,Fast & Furious 6,"$238,679,850",7.0,70%,61,10 wins & 22 nominations.
86,Ne Zha,"$3,695,533",7.5,88%,54,20 wins & 23 nominations.
87,How to Train Your Dragon: The Hidden World,"$160,799,505",7.5,90%,71,Nominated for 1 Oscar. Another 5 wins & 63 nominations.
88,Maleficent: Mistress of Evil,"$113,929,605",6.6,39%,43,Nominated for 1 Oscar. Another 1 win & 10 nominations.
89,It Chapter Two,"$211,593,228",6.5,62%,58,5 wins & 30 nominations.
90,Pokémon Detective Pikachu,"$144,105,346",6.6,67%,53,9 nominations.
91,Alita: Battle Angel,"$85,838,210",7.3,61%,53,10 wins & 24 nominations.
92,Godzilla: King of the Monsters,"$110,500,138",6.0,42%,48,6 wins & 14 nominations.
93,1917,"$159,227,644",8.3,89%,78,Won 3 Oscars. Another 128 wins & 200 nominations.
